rep,target,n,elapsed_s,rc
1,python,1,1.90,0
1,python,2,2.48,0
1,python,4,3.84,0
1,python,8,6.46,0
1,rust,1,7.29,0
1,rust,2,3.33,0
1,rust,4,3.76,0
1,rust,8,5.29,0
1,typescript,1,10.00,0
1,typescript,2,12.27,0
1,typescript,4,13.45,0
1,typescript,8,15.49,0
1,go,1,2.09,0
1,go,2,1.27,0
1,go,4,1.55,0
1,go,8,2.05,0
1,java,1,7.78,0
1,java,2,10.64,0
1,java,4,17.33,0
1,java,8,29.53,0
2,python,1,1.73,0
2,python,2,2.61,0
2,python,4,3.92,0
2,python,8,6.80,0
2,rust,1,3.20,0
2,rust,2,3.11,0
2,rust,4,3.51,0
2,rust,8,4.19,0
2,typescript,1,10.09,0
2,typescript,2,11.43,0
2,typescript,4,12.92,0
2,typescript,8,15.00,0
2,go,1,1.09,0
2,go,2,1.19,0
2,go,4,1.47,0
2,go,8,2.02,0
2,java,1,7.38,0
2,java,2,11.00,0
2,java,4,17.18,0
2,java,8,30.50,0
3,python,1,1.94,0
3,python,2,2.66,0
3,python,4,4.01,0
3,python,8,6.79,0
3,rust,1,3.39,0
3,rust,2,3.83,0
3,rust,4,3.78,0
3,rust,8,4.35,0
3,typescript,1,11.57,0
3,typescript,2,12.05,0
3,typescript,4,13.75,0
3,typescript,8,16.05,0
3,go,1,1.16,0
3,go,2,1.24,0
3,go,4,1.54,0
3,go,8,2.13,0
3,java,1,7.84,0
3,java,2,11.63,0
3,java,4,16.98,0
3,java,8,29.94,0
