rep,program,target,scenarios,elapsed_s,rc
1,quickstart,python,1,2.06,0
1,quickstart,rust,1,6.87,0
1,quickstart,typescript,1,11.27,0
1,quickstart,go,1,2.11,0
1,quickstart,java,1,7.98,0
1,domain-orders,python,2,2.72,0
1,domain-orders,rust,2,6.14,0
1,domain-orders,typescript,2,11.79,0
1,domain-orders,go,2,2.01,0
1,domain-orders,java,2,11.22,0
1,sim-vertical-slice,python,2,2.82,0
1,sim-vertical-slice,rust,2,7.55,0
1,sim-vertical-slice,typescript,2,11.79,0
1,sim-vertical-slice,go,2,2.26,0
1,sim-vertical-slice,java,2,11.31,0
1,sim-peripherals,python,4,4.54,0
1,sim-peripherals,rust,4,8.94,0
1,sim-peripherals,typescript,4,12.22,0
1,sim-peripherals,go,4,2.79,0
1,sim-peripherals,java,4,79.76,0
1,sim-broker-slice,python,1,1.88,0
1,sim-broker-slice,rust,1,7.55,0
1,sim-broker-slice,typescript,1,10.77,0
1,sim-broker-slice,go,1,2.80,0
1,sim-broker-slice,java,1,7.89,0
1,query-verbs,python,1,1.64,0
1,query-verbs,rust,1,6.03,0
1,query-verbs,typescript,1,11.34,0
1,query-verbs,go,1,1.80,0
1,query-verbs,java,1,7.35,0
1,order-system,python,1,2.34,0
1,order-system,rust,1,8.97,0
1,order-system,typescript,1,10.62,0
1,order-system,go,1,2.88,0
1,order-system,java,1,23.55,0
1,sim-three-service,python,1,2.57,0
1,sim-three-service,rust,1,9.33,0
1,sim-three-service,typescript,1,33.31,0
1,sim-three-service,go,1,2.23,0
1,sim-three-service,java,1,23.86,0
1,multi-service-media,python,1,3.35,0
1,multi-service-media,rust,1,12.28,0
1,multi-service-media,typescript,1,49.34,0
1,multi-service-media,go,1,1.92,0
1,multi-service-media,java,1,36.29,0
1,inventory-system,python,1,2.60,0
1,inventory-system,rust,1,7.79,0
1,inventory-system,typescript,1,24.66,0
1,inventory-system,go,1,2.76,0
1,inventory-system,java,1,17.72,0
2,quickstart,python,1,1.95,0
2,quickstart,rust,1,2.97,0
2,quickstart,typescript,1,11.34,0
2,quickstart,go,1,1.13,0
2,quickstart,java,1,7.59,0
2,domain-orders,python,2,2.33,0
2,domain-orders,rust,2,2.85,0
2,domain-orders,typescript,2,11.76,0
2,domain-orders,go,2,1.12,0
2,domain-orders,java,2,10.72,0
2,sim-vertical-slice,python,2,2.49,0
2,sim-vertical-slice,rust,2,3.20,0
2,sim-vertical-slice,typescript,2,11.29,0
2,sim-vertical-slice,go,2,1.27,0
2,sim-vertical-slice,java,2,11.06,0
2,sim-peripherals,python,4,4.41,0
2,sim-peripherals,rust,4,4.15,0
2,sim-peripherals,typescript,4,12.18,0
2,sim-peripherals,go,4,1.47,0
2,sim-peripherals,java,4,80.41,0
2,sim-broker-slice,python,1,1.77,0
2,sim-broker-slice,rust,1,3.33,0
2,sim-broker-slice,typescript,1,10.47,0
2,sim-broker-slice,go,1,1.39,0
2,sim-broker-slice,java,1,8.18,0
2,query-verbs,python,1,2.01,0
2,query-verbs,rust,1,2.80,0
2,query-verbs,typescript,1,11.79,0
2,query-verbs,go,1,1.06,0
2,query-verbs,java,1,7.74,0
2,order-system,python,1,2.33,0
2,order-system,rust,1,3.52,0
2,order-system,typescript,1,11.93,0
2,order-system,go,1,1.36,0
2,order-system,java,1,23.58,0
2,sim-three-service,python,1,2.52,0
2,sim-three-service,rust,1,3.71,0
2,sim-three-service,typescript,1,32.20,0
2,sim-three-service,go,1,1.16,0
2,sim-three-service,java,1,23.94,0
2,multi-service-media,python,1,3.29,0
2,multi-service-media,rust,1,4.27,0
2,multi-service-media,typescript,1,48.62,0
2,multi-service-media,go,1,0.90,0
2,multi-service-media,java,1,35.06,0
2,inventory-system,python,1,2.23,0
2,inventory-system,rust,1,3.44,0
2,inventory-system,typescript,1,23.92,0
2,inventory-system,go,1,1.22,0
2,inventory-system,java,1,17.67,0
3,quickstart,python,1,1.84,0
3,quickstart,rust,1,3.17,0
3,quickstart,typescript,1,10.94,0
3,quickstart,go,1,1.05,0
3,quickstart,java,1,7.52,0
3,domain-orders,python,2,2.53,0
3,domain-orders,rust,2,2.84,0
3,domain-orders,typescript,2,12.06,0
3,domain-orders,go,2,1.20,0
3,domain-orders,java,2,11.03,0
3,sim-vertical-slice,python,2,2.77,0
3,sim-vertical-slice,rust,2,3.26,0
3,sim-vertical-slice,typescript,2,11.71,0
3,sim-vertical-slice,go,2,1.22,0
3,sim-vertical-slice,java,2,11.22,0
3,sim-peripherals,python,4,4.20,0
3,sim-peripherals,rust,4,5.06,0
3,sim-peripherals,typescript,4,11.11,0
3,sim-peripherals,go,4,1.48,0
3,sim-peripherals,java,4,79.90,0
3,sim-broker-slice,python,1,1.89,0
3,sim-broker-slice,rust,1,3.46,0
3,sim-broker-slice,typescript,1,10.98,0
3,sim-broker-slice,go,1,1.25,0
3,sim-broker-slice,java,1,7.86,0
3,query-verbs,python,1,1.73,0
3,query-verbs,rust,1,2.40,0
3,query-verbs,typescript,1,11.58,0
3,query-verbs,go,1,0.96,0
3,query-verbs,java,1,7.39,0
3,order-system,python,1,2.35,0
3,order-system,rust,1,3.06,0
3,order-system,typescript,1,11.22,0
3,order-system,go,1,1.30,0
3,order-system,java,1,23.46,0
3,sim-three-service,python,1,2.39,0
3,sim-three-service,rust,1,3.60,0
3,sim-three-service,typescript,1,32.34,0
3,sim-three-service,go,1,1.08,0
3,sim-three-service,java,1,23.23,0
3,multi-service-media,python,1,2.75,0
3,multi-service-media,rust,1,4.88,0
3,multi-service-media,typescript,1,47.53,0
3,multi-service-media,go,1,0.88,0
3,multi-service-media,java,1,36.57,0
3,inventory-system,python,1,2.53,0
3,inventory-system,rust,1,3.43,0
3,inventory-system,typescript,1,24.75,0
3,inventory-system,go,1,1.31,0
3,inventory-system,java,1,17.71,0
